Evasion,Adulto_Mayor,Pareja,Dependientes,Meses_Contrato,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargo_Mensual,Puntaje_Inseguro,Total_Servicios
0,0,1,1,9,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,2.0,4.0
0,0,0,0,9,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,4.0,2.0
1,0,0,0,4,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,3.0,2.0
1,1,1,0,13,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,2.0,5.0
1,1,1,0,3,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,3.0,3.0
0,0,0,1,9,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,3.0,4.0
0,1,1,0,71,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,0.0,7.0
0,0,1,0,63,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,2.0,3.0
0,1,0,0,7,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,3.0,2.0
0,0,1,1,65,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,0.0,7.0
0,0,0,0,54,No phone service,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2.0,3.0
0,0,1,1,72,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,0.0,7.0
0,0,1,0,5,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,4.0,1.0
0,0,0,0,72,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,1.0,5.0
0,0,0,0,56,No phone service,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,0.0,4.0
0,0,1,1,71,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,2.0,4.0
0,0,1,1,34,No phone service,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1.0,5.0
0,1,0,0,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,4.0,1.0
1,1,0,0,45,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2.0,4.0
1,1,0,0,1,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,4.0,0.0
0,1,1,0,50,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,4.0,1.0
1,0,1,0,13,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,2.0,4.0
